"gene","P1","P2","P3","P4","I1","I2","I3","I4"
"CBM8",10,28,12,13,24,11,25,15
"CBM9",69,200,128,109,185,175,175,158
"CE0",59,193,122,111,183,154,159,147
"CE1",224,660,425,352,567,444,679,516
"CE11",388,1255,879,607,1152,969,1368,1036
"CE12",122,332,230,205,305,234,346,290
"CE13",0,2,1,0,0,1,1,0
"CE14",317,933,586,584,867,748,992,873
"CE15",8,44,32,13,33,26,40,28
"CE16",0,2,3,2,3,2,5,1
"CE2",0,5,1,4,2,1,2,2
"CE3",28,76,47,40,61,60,83,74
"CE4",207,589,400,395,504,399,660,520
"CE5",15,63,30,36,44,30,51,33
"CE6",7,63,36,21,47,32,58,44
"CE7",22,102,56,55,94,62,94,76
"CE8",38,117,78,64,84,83,104,89
"CE9",239,640,449,413,619,524,693,599
"GH0",480,1549,985,969,1445,1186,1598,1438
"GH1",158,384,272,240,344,259,370,339
"GH10",34,118,65,74,92,72,109,73
"GH101",12,37,23,23,33,25,34,34
"GH102",12,27,16,21,31,15,35,25
"GH103",21,72,43,36,55,49,79,63
"GH104",11,10,5,2,6,5,5,3
"GH105",17,35,23,9,29,17,22,15
"GH106",6,14,9,8,11,13,19,13
"GH107",1,1,0,1,0,0,0,0
"GH108",10,16,7,7,8,7,14,11
"GH109",62,252,145,127,204,169,217,192
"GH11",12,26,15,10,17,19,23,18
"GH110",0,1,1,1,2,0,0,1
"GH111",0,0,0,0,0,1,1,0
"GH113",7,28,17,8,14,15,17,14
"GH114",50,157,95,110,141,116,151,136
"GH115",9,27,25,8,7,7,56,11
"GH116",5,13,20,9,15,10,15,19
"GH117",0,3,2,1,2,5,0,2
"GH119",3,4,3,1,5,3,6,3
"GH12",66,208,112,96,161,124,187,136
"GH120",1,2,1,0,2,0,0,0
"GH121",0,3,0,0,2,3,6,1
"GH123",1,8,5,3,6,9,8,9
"GH125",0,2,1,1,0,0,2,0
"GH127",2,22,11,6,19,13,18,17
"GH128",45,173,103,93,144,116,167,132
"GH129",0,2,0,0,0,1,0,0
"GH13",81,257,166,188,261,196,263,219
"GH130",133,237,154,146,232,178,272,202
"GH131",0,0,0,0,0,0,1,0
"GH132",9,32,12,18,24,10,28,20
"GH133",12,29,20,17,32,25,43,30
"GH135",27,72,47,36,56,40,96,59
"GH136",9,15,11,10,10,7,14,16
"GH137",0,1,0,1,0,0,0,0
"GH138",0,3,0,1,3,0,3,1
"GH139",0,1,0,0,1,0,0,1
"GH13_10",17,55,44,40,49,47,61,48
"GH13_11",39,129,88,86,108,100,135,90
"GH13_12",1,2,0,0,0,0,0,0
"GH13_13",3,10,10,8,8,12,13,4
"GH13_14",0,11,1,5,7,7,6,8
"GH13_16",49,124,92,83,115,78,139,128
"GH13_18",4,9,4,2,8,3,15,9
"GH13_19",2,8,6,4,7,3,10,4
"GH13_2",3,4,3,4,10,5,9,7
"GH13_20",1,0,1,2,0,0,1,1
"GH13_21",1,1,0,2,1,1,1,1
"GH13_23",11,28,25,22,36,22,31,25
"GH13_26",32,105,66,66,110,80,128,95
"GH13_28",8,13,6,1,10,2,4,1
"GH13_29",6,6,3,4,4,4,5,3
"GH13_3",46,123,72,72,111,98,120,112
"GH13_30",52,125,85,80,100,86,97,104
"GH13_31",30,77,50,54,68,81,78,82
"GH13_32",8,23,15,13,30,17,25,26
"GH13_33",0,0,0,0,1,1,2,1
"GH13_36",0,6,4,2,8,10,4,7
"GH13_37",0,0,1,0,0,0,0,0
"GH13_38",6,14,9,15,10,14,16,12
"GH13_39",3,6,3,4,6,8,13,5
"GH13_4",0,0,0,0,1,1,0,1
"GH13_40",19,40,25,29,36,33,41,39
"GH13_41",2,6,0,3,7,2,2,2
"GH13_42",1,2,7,3,4,2,1,3
"GH13_5",1,0,1,0,0,0,0,0
"GH13_7",0,2,1,2,1,0,2,1
"GH13_8",44,105,62,66,90,71,117,92
"GH13_9",22,55,51,34,47,50,73,54
"GH140",3,15,3,8,14,11,14,6
"GH141",7,34,21,12,30,36,24,27
"GH142",0,1,1,1,2,2,1,1
"GH144",18,66,32,44,57,52,56,53
"GH145",2,0,1,0,1,1,0,0
"GH146",14,36,33,23,27,29,39,33
"GH147",0,0,1,0,2,1,2,0
"GH148",1,3,0,0,2,1,4,2
"GH15",39,138,86,71,116,84,113,94
"GH150",1,0,0,0,0,0,1,0
"GH151",0,3,2,2,5,4,2,3
"GH152",0,0,0,0,0,1,0,0
"GH153",0,2,0,0,0,0,2,0
"GH16",224,632,410,399,545,413,614,570
